,missing_count,missing_pct
FireplacesTotal,574565,100.0
TaxYear,574565,100.0
TaxAnnualAmount,574565,100.0
CoveredSpaces,574565,100.0
BusinessType,574565,100.0
MiddleOrJuniorSchoolDistrict,574565,100.0
ElementarySchoolDistrict,574565,100.0
AboveGradeFinishedArea,574565,100.0
BelowGradeFinishedArea,571294,99.43
CoBuyerAgentFirstName,559714,97.42
BuilderName,547871,95.35
LotSizeDimensions,544589,94.78
BuildingAreaTotal,523593,91.13
BuyerAgencyCompensation,512573,89.21
BuyerAgencyCompensationType,512559,89.21
ElementarySchool,505904,88.05
MiddleOrJuniorSchool,505855,88.04
HighSchool,484508,84.33
CoListAgentFirstName,446253,77.67
CoListAgentLastName,445824,77.59
CoListOfficeName,445738,77.58
ClosePrice,426067,74.15
BuyerOfficeAOR,423853,73.77
BuyerOfficeName,413432,71.96
BuyerOfficeName.1,413432,71.96
BuyerAgentFirstName,411896,71.69
BuyerAgentMlsId,411293,71.58
BuyerAgentLastName,411176,71.56
CloseDate,403919,70.3
CloseDate.1,403919,70.3
SubdivisionName,363053,63.19
AssociationFeeFrequency,328461,57.17
PurchaseContractDate,296521,51.61
MainLevelBedrooms,262465,45.68
HighSchoolDistrict,172775,30.07
AssociationFee,138124,24.04
Stories,100765,17.54
AttachedGarageYN,100257,17.45
Latitude.1,80436,14.0
Longitude.1,80436,14.0
Latitude,80436,14.0
Longitude,80436,14.0
MLSAreaMajor,77809,13.54
Levels,62389,10.86
LotSizeAcres,47296,8.23
LotSizeSquareFeet,46573,8.11
LotSizeArea,46393,8.07
NewConstructionYN,39603,6.89
GarageSpaces,31817,5.54
ListAgentEmail,25562,4.45
ContractStatusChangeDate,6570,1.14
ListAgentFirstName,4511,0.79
ListAgentFirstName.1,4511,0.79
PropertySubType,1334,0.23
YearBuilt,968,0.17
StreetNumberNumeric,1004,0.17
OriginalListPrice,834,0.15
UnparsedAddress.1,814,0.14
UnparsedAddress,814,0.14
FireplaceYN,604,0.11
LivingArea.1,578,0.1
LivingArea,578,0.1
City,585,0.1
BedroomsTotal,157,0.03
ListAgentFullName,99,0.02
ListAgentLastName.1,41,0.01
StateOrProvince,58,0.01
BathroomsTotalInteger,56,0.01
ListAgentLastName,41,0.01
PostalCode,13,0.0
ParkingTotal,16,0.0
